iter	Passed	Remaining
0	53	53067
1	53	26680
2	53	17893
3	54	13488
4	54	10848
5	54	9083
6	55	7825
7	55	6878
8	55	6150
9	56	5567
10	56	5085
11	56	4685
12	57	4347
13	57	4054
14	57	3803
15	58	3584
16	58	3388
17	58	3215
18	59	3059
19	59	2918
20	59	2789
21	60	2673
22	60	2568
23	60	2470
24	61	2380
25	61	2300
26	61	2223
27	62	2154
28	62	2089
29	62	2030
30	63	1974
31	63	1920
32	63	1869
33	64	1822
34	64	1777
35	64	1735
36	65	1695
37	65	1656
38	65	1620
39	66	1585
40	66	1552
41	66	1521
42	67	1491
43	67	1463
44	67	1435
45	67	1409
46	68	1383
47	68	1359
48	68	1336
49	69	1315
50	69	1293
51	69	1272
52	70	1253
53	70	1234
54	70	1216
55	71	1198
56	71	1181
57	71	1165
58	72	1149
59	72	1134
60	72	1121
61	73	1107
62	73	1093
63	73	1079
64	74	1066
65	74	1054
66	74	1042
67	75	1029
68	75	1017
69	75	1006
70	76	995
71	76	984
72	76	974
73	77	964
74	77	955
75	77	945
76	78	936
77	78	926
78	78	917
79	79	908
80	79	900
81	79	891
82	79	881
83	80	874
84	80	866
85	80	858
86	81	850
87	81	843
88	81	836
89	82	829
90	82	823
91	82	816
92	83	809
93	83	803
94	83	797
95	83	790
96	84	784
97	84	778
98	84	772
99	85	766
100	85	760
101	85	755
102	86	749
103	86	744
104	86	738
105	87	733
106	87	728
107	87	724
108	88	719
109	88	714
110	88	709
111	88	705
112	89	700
113	89	695
114	89	691
115	90	686
116	90	681
117	90	677
118	90	673
119	91	669
120	91	665
121	91	661
122	92	657
123	92	654
124	92	650
125	93	646
126	93	642
127	93	639
128	94	635
129	94	632
130	94	628
131	95	625
132	95	621
133	95	618
134	95	615
135	96	611
136	96	608
137	96	605
138	97	602
139	97	599
140	97	596
141	98	592
142	98	589
143	98	586
144	98	583
145	99	580
146	99	578
147	99	575
148	100	572
149	100	570
150	100	567
151	101	565
152	101	563
153	102	560
154	102	558
155	102	556
156	103	554
157	103	551
158	103	549
159	104	546
160	104	543
161	104	541
162	105	539
163	105	537
164	105	535
165	106	533
166	106	530
167	106	528
168	107	526
169	107	524
170	107	522
171	108	520
172	108	518
173	108	516
174	109	514
175	109	512
176	109	510
177	110	508
178	110	506
179	110	504
180	111	502
181	111	500
182	111	498
183	112	496
184	112	494
185	112	493
186	113	491
187	113	489
188	113	487
189	114	486
190	114	484
191	114	482
192	114	480
193	115	479
194	115	477
195	115	475
196	116	473
197	116	472
198	116	470
199	117	468
200	117	467
201	117	465
202	118	463
203	118	462
204	118	460
205	119	458
206	119	457
207	119	455
208	120	454
209	120	452
210	120	451
211	121	450
212	121	448
213	121	447
214	122	446
215	122	444
216	122	443
217	123	442
218	123	440
219	123	439
220	124	437
221	124	436
222	124	434
223	125	433
224	125	432
225	125	430
226	126	429
227	126	428
228	126	426
229	127	425
230	127	425
231	128	424
232	128	422
233	128	421
234	129	420
235	129	419
236	129	417
237	130	416
238	130	415
239	130	414
240	131	413
241	131	411
242	131	410
243	132	409
244	132	408
245	132	407
246	133	405
247	133	404
248	133	403
249	134	402
250	134	401
251	134	400
252	135	399
253	135	397
254	135	396
255	136	395
256	136	394
257	136	393
258	137	392
259	137	391
260	137	390
261	138	389
262	138	388
263	138	387
264	139	385
265	139	384
266	139	383
267	140	382
268	140	381
269	140	380
270	141	379
271	141	378
272	141	377
273	142	376
274	142	375
275	142	374
276	143	373
277	143	372
278	143	371
279	144	370
280	144	369
281	144	368
282	145	367
283	145	366
284	145	365
285	146	364
286	146	363
287	146	362
288	146	361
289	147	360
290	147	359
291	147	358
292	148	358
293	148	357
294	149	356
295	149	355
296	149	354
297	150	353
298	150	352
299	150	351
300	151	350
301	151	349
302	151	348
303	152	348
304	152	347
305	152	346
306	152	345
307	153	344
308	153	343
309	153	342
310	154	341
311	154	340
312	154	339
313	155	338
314	155	338
315	155	337
316	156	336
317	156	335
318	156	334
319	157	334
320	157	333
321	157	332
322	158	331
323	158	330
324	158	330
325	159	329
326	159	328
327	159	327
328	160	326
329	160	325
330	160	325
331	161	324
332	161	323
333	161	322
334	162	321
335	162	320
336	162	319
337	162	318
338	163	318
339	163	317
340	163	316
341	163	315
342	164	314
343	164	313
344	164	312
345	165	311
346	165	310
347	165	310
348	165	309
349	165	308
350	166	307
351	166	306
352	166	305
353	166	304
354	167	303
355	167	302
356	167	301
357	167	301
358	168	300
359	168	299
360	168	298
361	168	297
362	169	296
363	169	296
364	169	295
365	170	294
366	170	293
367	170	292
368	170	292
369	171	291
370	171	290
371	171	289
372	171	288
373	172	288
374	172	287
375	172	286
376	172	285
377	173	284
378	173	283
379	173	283
380	173	282
381	174	281
382	174	280
383	174	279
384	174	279
385	175	278
386	175	277
387	175	276
388	175	275
389	175	275
390	176	274
391	176	273
392	176	272
393	176	272
394	177	271
395	177	270
396	177	270
397	178	269
398	178	268
399	178	267
400	178	267
401	179	266
402	179	265
403	179	265
404	180	264
405	180	263
406	180	263
407	180	262
408	180	261
409	181	260
410	181	260
411	181	259
412	181	258
413	182	257
414	182	257
415	182	256
416	182	255
417	183	255
418	183	254
419	183	253
420	183	252
421	184	252
422	184	251
423	184	250
424	184	250
425	185	249
426	185	248
427	185	248
428	185	247
429	186	246
430	186	246
431	186	245
432	187	245
433	187	244
434	187	243
435	187	243
436	188	242
437	188	241
438	188	241
439	188	240
440	189	239
441	189	239
442	189	238
443	189	237
444	190	237
445	190	236
446	190	235
447	190	235
448	191	234
449	191	233
450	191	233
451	191	232
452	192	232
453	192	231
454	192	231
455	193	230
456	193	229
457	193	229
458	193	228
459	194	228
460	194	227
461	194	226
462	194	226
463	195	225
464	195	224
465	195	224
466	195	223
467	196	223
468	196	222
469	196	221
470	196	221
471	197	220
472	197	219
473	197	219
474	197	218
475	198	218
476	198	217
477	198	217
478	199	216
479	199	215
480	199	215
481	199	214
482	200	214
483	200	213
484	200	212
485	200	212
486	201	211
487	201	211
488	201	210
489	201	210
490	202	209
491	202	209
492	202	208
493	202	207
494	203	207
495	203	206
496	203	206
497	204	205
498	204	205
499	204	204
500	204	204
501	205	203
502	205	202
503	205	202
504	205	201
505	206	201
506	206	200
507	206	200
508	206	199
509	207	199
510	207	198
511	207	197
512	208	197
513	208	196
514	208	196
515	208	195
516	209	195
517	209	194
518	209	194
519	209	193
520	210	193
521	210	192
522	210	192
523	210	191
524	211	190
525	211	190
526	211	189
527	211	189
528	212	188
529	212	188
530	212	187
531	212	187
532	213	186
533	213	186
534	213	185
535	213	185
536	214	184
537	214	184
538	214	183
539	214	183
540	215	182
541	215	182
542	215	181
543	216	181
544	216	180
545	216	180
546	216	179
547	217	179
548	217	178
549	217	178
550	217	177
551	218	177
552	218	176
553	218	176
554	219	175
555	219	175
556	219	174
557	219	174
558	220	173
559	220	173
560	220	172
561	220	172
562	221	171
563	221	171
564	221	170
565	222	170
566	222	169
567	222	169
568	222	168
569	223	168
570	223	167
571	223	167
572	223	166
573	224	166
574	224	165
575	224	165
576	224	164
577	225	164
578	225	163
579	225	163
580	225	162
581	226	162
582	226	161
583	226	161
584	226	160
585	227	160
586	227	159
587	227	159
588	227	159
589	228	158
590	228	158
591	228	157
592	228	157
593	229	156
594	229	156
595	229	155
596	230	155
597	230	154
598	230	154
599	230	153
600	231	153
601	231	153
602	231	152
603	231	152
604	232	151
605	232	151
606	232	150
607	233	150
608	233	149
609	233	149
610	233	148
611	234	148
612	234	147
613	234	147
614	234	147
615	235	146
616	235	146
617	235	145
618	236	145
619	236	144
620	236	144
621	236	143
622	237	143
623	237	142
624	237	142
625	237	142
626	238	141
627	238	141
628	238	140
629	238	140
630	238	139
631	239	139
632	239	138
633	239	138
634	240	137
635	240	137
636	240	137
637	240	136
638	240	136
639	241	135
640	241	135
641	241	134
642	242	134
643	242	133
644	242	133
645	242	133
646	243	132
647	243	132
648	243	131
649	243	131
650	244	130
651	244	130
652	244	129
653	244	129
654	245	129
655	245	128
656	245	128
657	245	127
658	246	127
659	246	126
660	246	126
661	246	126
662	247	125
663	247	125
664	247	124
665	247	124
666	248	123
667	248	123
668	248	122
669	248	122
670	249	122
671	249	121
672	249	121
673	249	120
674	250	120
675	250	119
676	250	119
677	250	119
678	251	118
679	251	118
680	251	117
681	251	117
682	252	116
683	252	116
684	252	116
685	252	115
686	253	115
687	253	114
688	253	114
689	253	113
690	253	113
691	254	113
692	254	112
693	254	112
694	254	111
695	255	111
696	255	111
697	255	110
698	255	110
699	256	109
700	256	109
701	256	109
702	257	108
703	257	108
704	257	107
705	257	107
706	258	106
707	258	106
708	258	106
709	258	105
710	259	105
711	259	104
712	259	104
713	259	104
714	260	103
715	260	103
716	260	102
717	260	102
718	261	102
719	261	101
720	261	101
721	261	100
722	261	100
723	262	99
724	262	99
725	262	99
726	262	98
727	263	98
728	263	97
729	263	97
730	264	97
731	264	96
732	264	96
733	264	96
734	265	95
735	265	95
736	265	94
737	265	94
738	266	94
739	266	93
740	266	93
741	266	92
742	267	92
743	267	92
744	267	91
745	267	91
746	268	90
747	268	90
748	268	90
749	268	89
750	269	89
751	269	88
752	269	88
753	269	88
754	270	87
755	270	87
756	270	86
757	270	86
758	271	86
759	271	85
760	271	85
761	271	84
762	272	84
763	272	84
764	272	83
765	272	83
766	273	82
767	273	82
768	273	82
769	273	81
770	274	81
771	274	81
772	274	80
773	274	80
774	275	79
775	275	79
776	275	79
777	275	78
778	276	78
779	276	77
780	276	77
781	276	77
782	277	76
783	277	76
784	277	76
785	277	75
786	278	75
787	278	74
788	278	74
789	278	74
790	279	73
791	279	73
792	279	72
793	279	72
794	280	72
795	280	71
796	280	71
797	280	71
798	281	70
799	281	70
800	281	69
801	281	69
802	281	69
803	282	68
804	282	68
805	282	68
806	282	67
807	283	67
808	283	66
809	283	66
810	283	66
811	284	65
812	284	65
813	284	65
814	285	64
815	285	64
816	285	63
817	285	63
818	286	63
819	286	62
820	286	62
821	286	62
822	287	61
823	287	61
824	287	60
825	287	60
826	288	60
827	288	59
828	288	59
829	288	59
830	289	58
831	289	58
832	289	58
833	289	57
834	290	57
835	290	56
836	290	56
837	290	56
838	290	55
839	291	55
840	291	55
841	291	54
842	291	54
843	292	54
844	292	53
845	292	53
846	293	52
847	293	52
848	293	52
849	293	51
850	294	51
851	294	51
852	294	50
853	294	50
854	295	50
855	295	49
856	295	49
857	295	48
858	296	48
859	296	48
860	296	47
861	296	47
862	296	47
863	297	46
864	297	46
865	297	46
866	298	45
867	298	45
868	298	44
869	298	44
870	299	44
871	299	43
872	299	43
873	299	43
874	300	42
875	300	42
876	300	42
877	301	41
878	301	41
879	301	41
880	301	40
881	302	40
882	302	40
883	302	39
884	303	39
885	303	39
886	303	38
887	303	38
888	304	37
889	304	37
890	304	37
891	305	36
892	305	36
893	305	36
894	305	35
895	306	35
896	306	35
897	306	34
898	306	34
899	307	34
900	307	33
901	307	33
902	307	33
903	308	32
904	308	32
905	308	32
906	308	31
907	309	31
908	309	30
909	309	30
910	309	30
911	310	29
912	310	29
913	310	29
914	310	28
915	311	28
916	311	28
917	311	27
918	311	27
919	312	27
920	312	26
921	312	26
922	312	26
923	313	25
924	313	25
925	313	25
926	313	24
927	314	24
928	314	24
929	314	23
930	314	23
931	315	22
932	315	22
933	315	22
934	315	21
935	316	21
936	316	21
937	316	20
938	316	20
939	317	20
940	317	19
941	317	19
942	317	19
943	318	18
944	318	18
945	318	18
946	318	17
947	319	17
948	319	17
949	319	16
950	319	16
951	320	16
952	320	15
953	320	15
954	320	15
955	321	14
956	321	14
957	321	14
958	321	13
959	322	13
960	322	13
961	322	12
962	322	12
963	323	12
964	323	11
965	323	11
966	323	11
967	324	10
968	324	10
969	324	10
970	324	9
971	325	9
972	325	9
973	325	8
974	325	8
975	326	8
976	326	7
977	326	7
978	326	7
979	327	6
980	327	6
981	327	6
982	327	5
983	328	5
984	328	5
985	328	4
986	328	4
987	329	3
988	329	3
989	329	3
990	329	2
991	330	2
992	330	2
